taxonid_iucn,scientific_name,subspecies,rank,subpopulation,threatCategory,kingdom,phylum,class,order,family,genus,main_common_name,authority,published_year,assessment_date,category,criteria,population_trend,marine_system,freshwater_system,terrestrial_system,assessor,reviewer,aoo_km2,eoo_km2,elevation_upper,elevation_lower,depth_upper,depth_lower,errata_flag,errata_reason,amended_flag,amended_reason
95596261,Cercopithecus mitis ssp. manyaraensis,manyaraensis,ssp.,,EN,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Cercopithecus,Manyara Monkey,"Butynski &amp; De Jong, ined.",2020,2020-01-26,EN,"B1ab(i,ii,iii,v)",Decreasing,False,False,True,"de Jong, Y.A. & Butynski, T.M.","Reuter, K.E. & Williamson, E.A.",,4600-6000,2550.0,960.0,,,,,,
92488656,Cercopithecus nictitans ssp. insolitus,insolitus,ssp.,,EN,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Cercopithecus,Nigerian Putty-nosed Monkey,"Elliot, 1909",2021,2018-11-19,EN,A2cd,Decreasing,False,False,True,"Ikemeh, R., Oates, J.F. & Imong, I.","Williamson, E.A. & Reuter, K.E.",,,400.0,0.0,,,,,True,This amended version of the assessment was created to record this subspecies as occurring in the Afrotropical biogeographic realm.
92489579,Cercopithecus nictitans ssp. martini,martini,ssp.,,EN,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Cercopithecus,Bioko Putty-nosed Monkey,"Waterhouse, 1838",2020,2016-10-24,EN,"A2bcd; B1ab(i,ii,iii,v)",Decreasing,False,False,True,"Cronin, D.T.","Williamson, E.A.",,389,1200.0,0.0,,,,,,
41208,Cercopithecus nictitans ssp. stampflii,stampflii,ssp.,,EN,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Cercopithecus,Stampfli's Putty-nosed Monkey,"Jentinck, 1888",2020,2016-10-24,EN,A2cd,Decreasing,False,False,True,"Gonedelé Bi, S., Oates, J.F. & Koné, I.","Reuter, K.E.",,,,190.0,,,,,,
4229,Cercopithecus sclateri,,,,EN,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Cercopithecus,Sclater's Monkey,"Pocock, 1904",2019,2019-01-08,EN,A2cd,Decreasing,False,False,True,"Baker, L., Oates, J.F., Ikemeh, R. & Gadsby, E.L.","Williamson, E.A.",,,130.0,0.0,,,,,,
169208,Ceriagrion citrinum,,,,EN,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,Ceriagrion,Yellow Waxtail,"Campion, 1914",2018,2017-10-27,EN,"B1ab(ii,iii)+2ab(ii,iii)",Unknown,False,True,True,"Dijkstra, K.-D.B. & Tchibozo, S.","Kipping, J., Clausnitzer, V., Meziere, N.M. & Suhling, F.",28,10162,,,,,,,,
59700,Ceriagrion georgifreyi,,,,EN,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,Ceriagrion,Turkish Red Damsel,"Schmidt, 1953",2020,2019-11-14,EN,"B2ab(ii,iii,iv,v)",Decreasing,False,True,True,"Jović, M. & Boudot, J.-P.","Clausnitzer, V.",116,440292-849224,,,,,,,,
149170457,Ceriana glaebosa,,,,EN,ANIMALIA,ARTHROPODA,INSECTA,DIPTERA,SYRPHIDAE,Ceriana,,"van Steenis &amp; Ricarte, 2016",2021,2020-02-05,EN,B1ab(iii)+2ab(iii),Decreasing,False,True,True,"Aracil, A., Pérez, C., Rojo, S., Barkalov, A., Mazanek, L., Pennards, G.W.A., Popov, G. & Speight, M.","Flinn, G. & Smit, J.",24,1365,600.0,500.0,,,,,,
156308,Cernuella rugosa,,,,EN,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,GEOMITRIDAE,Cernuella,,"(Lamarck, 1822)",2011,2011-04-06,EN,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)",Unknown,False,False,True,"von Proschwitz, T., Falkner, G. & Falkner, M.","Ward, J. & Cuttelod, A.",12,1000,,,,,,,,
4292,Cetorhinus maximus,,,,EN,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,CETORHINIDAE,Cetorhinus,Basking Shark,"(Gunnerus, 1765)",2021,2018-11-07,EN,A2bd,Decreasing,True,False,False,"Rigby, C.L., Barreto, R., Carlson, J., Fernando, D., Fordham, S., Francis, M.P., Herman, K., Jabado, R.W., Liu, K.M., Marshall, A., Romanov, E. & Kyne, P.M.","Dulvy, N.K. & Fowler, S.L.",,,,,0.0,1264.0,,,True,Paraguay was removed from the countries of occurrence as this was an error.
59721,Ceylonosticta adami,,,,EN,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,PLATYSTICTIDAE,Ceylonosticta,Adam’s Shadowdamsel,"Fraser, 1933",2021,2020-04-09,EN,"B1ab(ii,iii)+2ab(ii,iii)",Decreasing,False,True,True,"Bedjanič, M., Dow, R.A. & Sumanapala, A.P.","Clausnitzer, V.",48-100,363-1202,1338.0,500.0,,,,,,
