taxonid_iucn,scientific_name,subspecies,rank,subpopulation,threatCategory
121383673,Ansonia khaochangensis,,,,CR
78901981,Ansonia vidua,,,,CR
85750558,Anthemis didymaea,,,,CR
61617,Anthemis glaberrima,,,,CR
65880793,Anthicodes maculatus,,,,CR
22704415,Anthochaera phrygia,,,,CR
177513985,Anthopterus racemosus,,,,CR
22682447,Anthracoceros montani,,,,CR
42882,Anthurium coerulescens,,,,CR
42893,Anthurium eggersii,,,,CR
42918,Anthurium linguifolium,,,,CR
42980,Anthurium tenuicaule,,,,CR
142714882,Antiaropsis uniflora,,,,CR
153507438,Antidesma catanduanense,,,,CR
110092752,Antidesma pachybotryum,,,,CR
22728410,Antilophia bokermanni,,,,CR
153507745,Antirhea bombysia,,,,CR
161946,Antirrhinum charidemi,,,,CR
199526,Antisolabis seychellensis,,,,CR
1784,Antrisocopia prehensilis,,,,CR
22713719,Apalis fuscigularis,,,,CR
1820,Apalone spinifera ssp. atra,atra,ssp.,,CR
135600,Aphanius almiriensis,,,,CR
19483002,Aphanius danfordii,,,,CR
60411,Aphanius sirhani,,,,CR
1850,Aphanius transgrediens,,,,CR
162381413,Aphelandra taborensis,,,,CR
80351408,Aphistogoniulus corallipes,,,,CR
22702156,Aphrastura masafuerae,,,,CR
169518528,Apicencya calva,,,,CR
58084362,Apinagia peruviana,,,,CR
61608,Apium bermejoi,,,,CR
60325,Aplocheilichthys sp. nov. 'Baringo',,,,CR
22710490,Aplonis pelzelni,,,,CR
65611954,Apodocephala coursii,,,,CR
196153,Apolania segmentata,,,,CR
88495017,Aponogeton dioecus,,,,CR
88495231,Aponogeton masoalaensis,,,,CR
103186194,Aporodrilus mortenseni,,,,CR
38005,Aporosa fusiformis,,,,CR
110084781,Aporrhiza multijuga,,,,CR
15157465,Apostolepis striata,,,,CR
49830106,Aposturisoma myriodon,,,,CR
149334831,Appunia venezuelensis,,,,CR
182964,Apricaphanius saourensis,,,,CR
1933,Aproteles bulmerae,,,,CR
32322,Apterosperma oblata,,,,CR
1950,Aquadulcaris pheronyx,,,,CR
32814,Aquilaria crassna,,,,CR
88305771,Aquilaria khasiana,,,,CR
32056,Aquilaria malaccensis,,,,CR
31810,Aquilaria rostrata,,,,CR
61671,Aquilegia barbaricina,,,,CR
61672,Aquilegia nuragica,,,,CR
59391,Aquiloeurycea praecellens,,,,CR
61911,Aquiloeurycea quetzalanensis,,,,CR
22685553,Ara ambiguus,,,,CR
61629,Arabis kennedyae,,,,CR
62757989,Arachis ipaensis,,,,CR
199560,Arachnocephalus medvedevi,,,,CR
46003,Arachnothryx chimboracensis,,,,CR
149671624,Arachnothryx evansii,,,,CR
126611141,Arachnothryx flocculosa,,,,CR
126618205,Arachnothryx galeottii,,,,CR
169313060,Arachnothryx guettardioides,,,,CR
149671795,Arachnothryx megalantha,,,,CR
126611455,Arachnothryx sousae,,,,CR
22685542,Ara glaucogularis,,,,CR
31682,Aralia rex,,,,CR
22685572,Ara rubrogenys,,,,CR
32975,Araucaria angustifolia,,,,CR
30987,Araucaria nemorosa,,,,CR
128420426,Arboa antsingyae,,,,CR
177897213,Archibasis oscillans ssp. hanwellanensis,hanwellanensis,ssp.,,CR
153507965,Archidendron apoense,,,,CR
142718633,Archidendron gogolense,,,,CR
164003678,Archidendron royenii,,,,CR
142720995,Archidendron trifoliolatum,,,,CR
167424,Archineura maxima,,,,CR
22697021,Ardea insignis,,,,CR
22691932,Ardeotis nigriceps,,,,CR
149456566,Ardisia angucianensis,,,,CR
149304715,Ardisia apoda,,,,CR
37906,Ardisia byrsonimae,,,,CR
110082733,Ardisia dom,,,,CR
172490315,Ardisia ebo,,,,CR
39527,Ardisia etindensis,,,,CR
151907001,Ardisia generalensis,,,,CR
169502032,Ardisia killipii,,,,CR
110082899,Ardisia letouzeyi,,,,CR
137735070,Ardisia marojejyensis,,,,CR
39528,Ardisia oligantha,,,,CR
110077305,Ardisia polyadenia,,,,CR
39529,Ardisia schlechteri,,,,CR
149456749,Ardisia tortuguerensis,,,,CR
61633,Arenaria bolosii,,,,CR
200491721,Arenaria livermorensis,,,,CR
61634,Arenaria nevadensis,,,,CR
43576,Arenaria radians,,,,CR
65880800,Argaterma alticola,,,,CR
65545215,Argaterma multisignata,,,,CR
125252765,Argia haberi,,,,CR
162058,Argyranthemum winteri,,,,CR
44113,Argyroxiphium kauense,,,,CR
44159,Argyroxiphium sandwicense subsp. macrocephalum,macrocephalum,subsp.,,CR
44158,Argyroxiphium sandwicense subsp. sandwicense,sandwicense,subsp.,,CR
196745,Ariadna ustulata,,,,CR
44632,Arinia boreoborneensis,,,,CR
44636,Arinia dentifera,,,,CR
44635,Arinia oviformis,,,,CR
44634,Arinia simplex,,,,CR
40958,Ariocarpus bravoanus subsp. bravoanus,bravoanus,subsp.,,CR
95947515,Arion luisae,,,,CR
